,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,85,0,94.75,JFK,1,"(27, 47)",0,9.75,"(27, 47)",26.17455322455322,1,23,3,4,632,7,1,-10.825446775446778,"[14.174553224553222, 38.17455322455322]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 14.174553224553222 and 38.17455322455322%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,80,0,84.5,IAD,1,"(21, 41)",0,4.5,"(21, 41)",23.573731546231546,2,23,1,4,602,5,1,-7.426268453768454,"[11.573731546231546, 35.57373154623154]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 11.573731546231546 and 35.57373154623154%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,30,0,33.75,MIA,1,"(0, 20)",0,3.75,"(0, 20)",62.38333333333333,3,23,2,1,123,3,1,59.38333333333333,"[50.38333333333333, 74.38333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 50.38333333333333 and 74.38333333333333%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,65,0,69.0,DCA,1,"(12, 32)",0,4.0,"(12, 32)",51.120909090909095,4,23,2,3,620,5,1,29.12090909090909,"[39.120909090909095, 63.120909090909095]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 39.120909090909095 and 63.120909090909095%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,40,0,46.75,MCO,1,"(0, 20)",0,6.75,"(0, 20)",51.09333333333333,5,23,4,1,123,5,1,41.09333333333333,"[39.09333333333333, 63.09333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 39.09333333333333 and 63.09333333333333%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,83,0,91.0,DFW,1,"(25, 45)",0,7.999999999999999,"(25, 45)",12.742905982905985,6,23,4,3,1982,7,1,-22.25709401709401,"[0.7429059829059845, 24.742905982905985]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0.7429059829059845 and 24.742905982905985%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,20,0,27.285714285714285,ORD,0,"(0, 20)",0,7.285714285714285,"(0, 20)",37.93666666666667,7,23,1,1,219,2,1,37.93666666666667,"[25.936666666666667, 49.93666666666667]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 25.936666666666667 and 49.93666666666667%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,103,0,109.0,BOS,1,"(34, 54)",0,6.0,"(34, 54)",17.06145299145299,8,23,1,3,2772,4,1,-26.93854700854701,"[5.061452991452992, 29.06145299145299]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 5.061452991452992 and 29.06145299145299%,No Impacts
8,8,8,8,8,8,2.0,0,0.0,30,0,34.0,PIT,1,"(0, 20)",0,2.0,"(0, 20)",25.05666666666667,9,23,2,1,123,3,1,22.05666666666667,"[13.056666666666668, 37.05666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 13.056666666666668 and 37.05666666666667%,
9,9,9,9,9,9,0.0,0,0.0,70,0,79.0,ATL,0,"(18, 38)",0,9.0,"(18, 38)",19.560577940577943,10,23,2,3,131,5,1,-8.439422059422059,"[7.560577940577943, 31.560577940577943]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.560577940577943 and 31.560577940577943%,No Impacts
10,10,10,10,10,10,0.0,0,0.0,55,0,56.5,JAX,1,"(6, 26)",0,1.5,"(6, 26)",22.53666666666667,11,23,3,2,184,5,1,6.536666666666667,"[10.536666666666669, 34.53666666666667]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.536666666666669 and 34.53666666666667%,No Impacts
11,11,11,11,11,11,0.0,0,0.0,5,0,6.0,STL,1,"(0, 20)",0,1.0,"(0, 20)",21.33,12,23,1,0,304,1,1,32.33,"[9.329999999999998, 33.33]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,0,Predicted Departure Delays Between 9.329999999999998 and 33.33%,No Impacts
12,12,12,12,12,12,0.0,0,32.35,152,0,196.35,AUS,0,"(80, 100)",0,12.0,"(80, 100)",26.6068253968254,13,23,2,4,2378,6,1,-65.3931746031746,"[14.6068253968254, 38.6068253968254]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 14.6068253968254 and 38.6068253968254%,No Impacts
13,13,13,13,13,13,0.0,0,0.0,123,0,153.0,PDX,0,"(59, 79)",0,30.0,"(59, 79)",32.45936507936508,14,23,4,6,646,10,1,-36.54063492063492,"[20.459365079365078, 44.45936507936508]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 20.459365079365078 and 44.45936507936508%,No Impacts
14,14,14,14,14,14,0.0,0,17.333333333333336,35,0,56.333333333333336,BNA,0,"(5, 25)",0,4.0,"(5, 25)",25.120833333333334,15,23,1,2,374,3,1,10.120833333333334,"[13.120833333333334, 37.12083333333334]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 13.120833333333334 and 37.12083333333334%,No Impacts
15,15,15,15,15,15,0.0,0,49.8,0,0,136.8,SAN,0,"(50, 70)",0,87.0,"(50, 70)",25.69399114484504,16,23,0,0,0,0,1,-34.306008855154964,"[13.69399114484504, 37.69399114484504]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Signifcant Arrival Delays,No Impacts,Predicted Departure Delays Between 13.69399114484504 and 37.69399114484504%,No Impacts
16,16,16,16,16,16,0.0,0,21.55,70,0,96.35,TPA,0,"(27, 47)",0,4.8,"(27, 47)",19.13196775446775,17,23,2,3,218,5,1,-17.86803224553225,"[7.131967754467752, 31.13196775446775]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.131967754467752 and 31.13196775446775%,No Impacts
17,17,17,17,17,17,0.0,0,47.7,70,0,123.7,BWI,0,"(43, 63)",0,6.0,"(43, 63)",32.01148296148296,18,23,3,3,573,6,1,-20.98851703851704,"[20.01148296148296, 44.01148296148296]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 20.01148296148296 and 44.01148296148296%,No Impacts
18,18,18,18,18,18,0.0,0,20.366666666666667,75,0,96.36666666666667,PHL,0,"(28, 48)",0,1.0,"(28, 48)",18.009845247345247,19,23,3,3,461,6,1,-19.99015475265476,"[6.009845247345247, 30.009845247345247]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.009845247345247 and 30.009845247345247%,No Impacts
19,19,19,19,19,19,0.0,0,39.35,0,0,63.35,SLC,0,"(9, 29)",0,24.0,"(9, 29)",17.754444444444445,20,23,0,0,0,0,1,-1.2455555555555555,"[5.754444444444445, 29.754444444444445]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Elevated Arrival Delays,No Impacts,Predicted Departure Delays Between 5.754444444444445 and 29.754444444444445%,No Impacts
20,20,20,20,20,20,4.2700000000000005,0,0.0,65,0,74.52,DTW,0,"(15, 35)",0,5.25,"(15, 35)",17.897592592592595,21,23,2,3,218,5,1,-7.102407407407406,"[5.897592592592595, 29.897592592592595]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 5.897592592592595 and 29.897592592592595%,
21,21,21,21,21,21,0.0,0,29.633333333333333,43,0,82.63333333333333,MSP,0,"(20, 40)",0,10.0,"(20, 40)",21.506496743996745,22,23,2,1,1998,3,1,-8.493503256003256,"[9.506496743996745, 33.50649674399675]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 9.506496743996745 and 33.50649674399675%,No Impacts
22,22,22,22,22,22,0.0,0,34.733333333333334,174,0,221.7333333333333,SFO,0,"(80, 100)",0,12.999999999999998,"(80, 100)",46.45,23,23,4,7,646,11,1,-59.55,"[34.45, 58.45]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 34.45 and 58.45%,No Impacts
